Lance;PRES;TEMP;SALI;PH;OXMG;FLUO;DiaMesAno;HoraCTD
15;3;18,9665;36,2935;7,42858;8,167;4,3851;27/02/2008;2:28
15;4;18,9711;36,2931;7,443;8,168;4,4363;27/02/2008;2:28
15;5;18,981;36,2933;7,45235;8,169;4,4842;27/02/2008;2:28
15;6;18,9826;36,2934;7,44332;8,169;4,3127;27/02/2008;2:28
15;7;18,9809;36,2942;7,43792;8,168;4,5429;27/02/2008;2:28
15;8;18,9833;36,2938;7,44362;8,169;4,5018;27/02/2008;2:28
15;9;18,9836;36,2937;7,44552;8,168;4,5225;27/02/2008;2:28
15;10;18,9842;36,2937;7,45874;8,167;4,7091;27/02/2008;2:28
15;11;18,9855;36,2935;7,45631;8,169;4,3245;27/02/2008;2:28
15;12;18,9864;36,2937;7,45406;8,168;4,3815;27/02/2008;2:28
15;13;18,9853;36,294;7,4687;8,168;4,5648;27/02/2008;2:28
15;14;18,9815;36,2936;7,47234;8,17;4,4046;27/02/2008;2:28
15;15;18,9802;36,2928;7,45815;8,168;4,5397;27/02/2008;2:28
15;16;18,9666;36,2922;7,44274;8,17;4,1755;27/02/2008;2:28
15;17;18,965;36,2925;7,44495;8,17;4,1924;27/02/2008;2:28
15;18;18,9637;36,2926;7,44436;8,169;4,4598;27/02/2008;2:28
15;19;18,958;36,2924;7,45597;8,169;4,7007;27/02/2008;2:28
15;20;18,9441;36,2926;7,4579;8,169;4,4925;27/02/2008;2:28
15;21;18,9144;36,2934;7,449;8,171;4,4512;27/02/2008;2:28
15;22;18,8717;36,2902;7,45283;8,17;4,4997;27/02/2008;2:28
15;23;18,8393;36,2889;7,45647;8,169;4,4764;27/02/2008;2:28
15;24;18,7879;36,288;7,47658;8,171;4,4222;27/02/2008;2:28
15;25;18,7231;36,2847;7,49121;8,171;4,705;27/02/2008;2:28
15;26;18,6803;36,2837;7,50319;8,169;4,8508;27/02/2008;2:28
15;27;18,6193;36,2812;7,51975;8,171;4,5207;27/02/2008;2:28
15;28;18,607;36,2792;7,53725;8,172;4,612;27/02/2008;2:28
15;29;18,5558;36,2798;7,54064;8,171;4,6001;27/02/2008;2:28
15;30;18,4659;36,2758;7,55929;8,172;4,6976;27/02/2008;2:28
15;31;18,385;36,2732;7,60094;8,174;4,7522;27/02/2008;2:28
15;32;18,2463;36,2711;7,64729;8,174;4,8937;27/02/2008;2:28
15;33;18,1744;36,2683;7,67432;8,174;4,9871;27/02/2008;2:28
15;34;18,08;36,2646;7,70536;8,175;4,9846;27/02/2008;2:28
15;35;17,9327;36,2605;7,73931;8,176;5,1488;27/02/2008;2:28
15;36;17,7539;36,2592;7,76572;8,177;5,2153;27/02/2008;2:28
15;37;17,3995;36,2611;7,82508;8,178;5,5281;27/02/2008;2:28
15;38;17,0044;36,2473;7,89569;8,18;6,4995;27/02/2008;2:28
15;39;16,7448;36,2349;7,93437;8,182;7,5575;27/02/2008;2:28
15;40;16,4534;36,2245;7,98557;8,181;10,558;27/02/2008;2:28
15;41;16,3728;36,2124;8,01351;8,177;12,785;27/02/2008;2:28
15;42;16,2133;36,2105;8,03988;8,174;14,995;27/02/2008;2:28
15;43;15,9843;36,2038;8,05247;8,171;19,872;27/02/2008;2:28
15;44;15,914;36,1954;8,0011;8,165;20,911;27/02/2008;2:28
15;45;15,866;36,1891;7,92353;8,159;18,706;27/02/2008;2:28
15;46;15,8438;36,1854;7,86517;8,156;17,964;27/02/2008;2:28
15;47;15,8119;36,1847;7,81694;8,152;17,408;27/02/2008;2:28
15;48;15,7817;36,1829;7,74957;8,15;17,648;27/02/2008;2:28
15;49;15,7415;36,1795;7,67823;8,147;17,697;27/02/2008;2:28
15;50;15,6488;36,1789;7,64062;8,148;14,543;27/02/2008;2:28
15;51;15,5992;36,1761;7,61987;8,143;13,076;27/02/2008;2:28
15;52;15,5767;36,1746;7,58678;8,139;11,988;27/02/2008;2:28
15;53;15,5587;36,1745;7,52136;8,138;12,895;27/02/2008;2:28
15;54;15,5473;36,1716;7,43774;8,135;13,367;27/02/2008;2:28
15;55;15,5425;36,1692;7,38298;8,134;12,726;27/02/2008;2:28
15;56;15,5387;36,168;7,36752;8,134;10,879;27/02/2008;2:28
15;57;15,5289;36,1669;7,35398;8,134;11,013;27/02/2008;2:28
15;58;15,5153;36,1659;7,34686;8,136;11,069;27/02/2008;2:28
15;59;15,4942;36,1663;7,33471;8,134;11,58;27/02/2008;2:28
15;60;15,4691;36,165;7,31049;8,132;12,025;27/02/2008;2:28
15;61;15,4294;36,1635;7,28397;8,131;10,29;27/02/2008;2:28
15;62;15,3669;36,1621;7,27779;8,129;8,9518;27/02/2008;2:28
15;63;15,2692;36,1602;7,27806;8,125;7,8963;27/02/2008;2:28
15;64;15,2275;36,1587;7,2507;8,12;7,4562;27/02/2008;2:28
15;65;15,1732;36,1612;7,20639;8,116;7,5366;27/02/2008;2:28
15;66;15,1348;36,1585;7,09508;8,114;6,6947;27/02/2008;2:28
15;67;15,1064;36,1569;7,04128;8,114;5,6813;27/02/2008;2:28
15;68;15,091;36,1559;7,00593;8,113;5,5119;27/02/2008;2:28
15;69;15,0635;36,1554;6,98622;8,112;5,3363;27/02/2008;2:28
15;70;15,0134;36,1547;6,97232;8,11;5,2596;27/02/2008;2:28
15;71;15,0029;36,1525;6,94266;8,106;5,905;27/02/2008;2:28
15;72;14,9941;36,1544;6,90879;8,107;4,7732;27/02/2008;2:28
15;73;14,9747;36,1543;6,89724;8,106;4,1342;27/02/2008;2:28
